id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
2857,2020,TMS,Transimex,HOSE,0,0.51,1.29,1.29,0.23,0.14,0.36,0.22,0.44,0.26,0.67,0.4,1.67,0.8,11.3,8.97,1.93,1.19,1.53,4071.57,12.6,4712.63,1.38,16.15,24.01,5573
3598,2010,BPC,Bao b? B?m S?n,HNX,0,0.28,1.14,1.78,0,0,0.23,0.14,0.57,0.36,0.57,0.36,0,0,3.8,3.8,0.42,0.14,0.42,33.06,1.82,38.21,0.15,2.1,2.95,2291
4228,2012,HCC,Bê tông H?a C?m,HNX,0,0.11,1.07,1.35,0.06,0.03,0.25,0.13,0.83,0.44,0.89,0.47,0,0,4.16,4.16,1.04,0.24,1.04,47.35,2.05,54.73,0.27,2.64,3.5,3101
5533,2013,S99,Sông ?à 9.09 (SCI),HNX,0,0.5,1.72,2.17,0,0,0.22,0.15,0.45,0.31,0.45,0.31,0,0,51.84,51.84,0.9,0.88,1.08,123.72,2.42,128.49,0.91,10.42,17.91,191
7387,2014,CMT,CN m?ng và Truy?n thông,UPCOM,0,0.53,1.42,2.05,0,0,0.22,0.12,0.9,0.47,0.91,0.48,0,0,10.73,10.73,0.76,0.24,0.78,83.76,-2.57,66.87,0.18,4.24,5.01,1072
7636,2016,DHD,D??c V?t T? Y T? H?i D??ng,UPCOM,0,0.07,1.27,1.69,0,0,0.11,0.06,0.97,0.49,0.98,0.5,1.98,2.53,5.75,5.75,1.17,0.31,1.23,238.78,9.07,248.32,0.32,4.01,4.71,6918
7691,2017,DLT,Du l?ch và TM - Vinacomin,UPCOM,0,0.16,0.7,1.02,0,0,3.01,0.37,4.94,0.78,5.98,0.86,5.47,0.09,2.86,2.86,0.52,0.04,0.52,29,0.33,201.18,0.13,6.67,7.16,4.05
7731,2010,DNT,Du l?ch ??ng Nai,UPCOM,0,1.25,1.36,1.51,0,0,0.01,0.01,0.26,0.21,0.27,0.21,0,0,7.06,7.06,0.79,0.51,0.84,55.36,8.31,34.98,0.32,2.64,3.72,1558
9068,2017,MND,Môi tr??ng Nam ??nh,UPCOM,0,1.63,1.99,2.01,0.31,0.18,0.31,0.18,0.38,0.22,0.69,0.41,1.69,0,63.74,63.74,0.72,0.34,0.72,20.85,67.91,12.07,0.2,0.82,51.4,149
9906,2018,RBC,CN và XNK Cao Su,UPCOM,0,0.3,1.7,2.25,0.08,0.05,0.23,0.14,0.52,0.32,0.61,0.38,1.61,0.1,103.94,104.51,1.06,0.31,1.13,144.59,11.49,154.43,0.33,69.17,-64,13
